StudentName,sector,DOB,qalification,score,state,randomName
WILLIAM,goverenment,20-10-2000,BE,100,alabama,madison`
JOHN,goverenment,20-10-2000,BE,100,alabama,madison`
JACOB,goverenment,12-12-2001,BE,100,alabama,madison`
THOMAS,goverenment,20-10-2000,BE,100,alabama,madison`
JESSE,goverenment,20-10-2000,BSC,100,alabama,madison`
CHARLES,goverenment,20-10-2000,BE,8.5,arizona,decatur!
MCWILLIAM,goverenment,20-10-2000,BE,3.5,Pennsylvania,prattville*
PATRICK,goverenment,20-10-2000,BE,100,alabama,madison`
PATRICK,goverenment,28-04-2005,BE,100,alabama,madison`
WILLIAM,goverenment,20-10-2000,BBA,100,alabama,madison`
JOHN,goverenment,20-10-2000,BE,100,alabama,madison`
SAMUEL,goverenment,20-10-2000,BE,3.5,Pennsylvania,prattville*
CHRISTIAN,goverenment,20-10-2000,BE,100,alabama,madison`
JOHN,goverenment,20-10-2000,BE,100,alabama,madison`
THOMAS,goverenment,20-10-2000,BE,100,alabama,madison`
ELEONER,goverenment,20-10-2000,BE,100,alabama,madison`
MARTIN,goverenment,20-10-2000,BE,100,alabama,madison`
MARTIN,goverenment,20-10-2000,BE,100,alabama,madison`
NEWCOMMER,goverenment,10-07-2004,ME,7.5,california,dothan@
JOHN,goverenment,20-10-2000,BCOM,100,alabama,madison`
WILLIAM,goverenment,20-10-2000,MBBS,100,alabama,madison`
PHILIP,private,20-10-2000,BE,100,alabama,madison`
STEPHEL,goverenment,20-10-2000,BE,2.5,vermont,gadsden+
REBECAH,goverenment,20-10-2000,BE,100,alabama,madison`
SARAH,goverenment,20-10-2000,BE,9.5,alaska,auburn~
SUSANNAH,goverenment,20-10-2000,BE,100,alabama,madison`
PAUL,goverenment,20-10-2000,BE,6.5,louisiana,hoover#
GEORGE,goverenment,20-10-2000,BE,100,alabama,madison`
GEORGE,goverenment,20-10-2000,BE,100,alabama,madison`
GEORGE,goverenment,18-11-2002,BE,8.5,arizona,decatur!
GEORGE,goverenment,12-12-2001,BTECH,100,alabama,madison`
GEORGE,goverenment,01-01-2003,BE,100,alabama,madison`
GEORGE,goverenment,20-10-2000,BE,100,alabama,madison`
GEORGE,goverenment,20-10-2000,BE,100,alabama,madison`
GEORGE,goverenment,20-10-2000,BE,100,alabama,madison`
FREDERICK,goverenment,20-10-2000,BE,100,alabama,madison`
RICHARD,goverenment,20-10-2000,BE,4.5,oregon,huntsville/
